,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
10,8bskEwLJsPe2X3Avixab-Q,rorschach-brewing-company-toronto,Rorschach Brewing Company,https://s3-media2.fl.yelpcdn.com/bphoto/tlOCPnoL95n2EgwO6JObkQ/o.jpg,False,https://www.yelp.com/biz/rorschach-brewing-company-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,67,"[{'alias': 'brewpubs', 'title': 'Brewpubs'}]",4.0,[],$$,+14169013233,+1 416-901-3233,357.80390604207753,43.66348,-79.31988,1001 Eastern Avenue,,,Toronto,M4L 1A8,CA,ON,"['1001 Eastern Avenue', 'Toronto, ON M4L 1A8', 'Canada']"
11,-BAUrljU90RNV-hkokLhXA,godspeed-brewery-toronto,Godspeed Brewery,https://s3-media1.fl.yelpcdn.com/bphoto/h2-o_DepyeNWwTmjChyGwQ/o.jpg,False,https://www.yelp.com/biz/godspeed-brewery-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,61,"[{'alias': 'breweries', 'title': 'Breweries'}]",4.0,[],$$,+14165512282,+1 416-551-2282,724.1705286685947,43.6726566500705,-79.3190997093916,242 Coxwell Avenue,,,Toronto,M4L 3B2,CA,ON,"['242 Coxwell Avenue', 'Toronto, ON M4L 3B2', 'Canada']"
12,u5Yk1uwvvoSGjyqEySjNVQ,black-lab-brewing-toronto-2,Black Lab Brewing,https://s3-media2.fl.yelpcdn.com/bphoto/hIOajfAxg_olwgZ0MPJseA/o.jpg,False,https://www.yelp.com/biz/black-lab-brewing-toronto-2?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,25,"[{'alias': 'breweries', 'title': 'Breweries'}]",4.5,[],$$,+16473522525,+1 647-352-2525,1024.6724954116494,43.661923,-79.328959,818 Eastern Avenue,,,Toronto,M4L 1A1,CA,ON,"['818 Eastern Avenue', 'Toronto, ON M4L 1A1', 'Canada']"
13,Z1r6b30Tg0n0ME4-Zj2wQQ,boardwalk-place-toronto,Boardwalk Place,https://s3-media2.fl.yelpcdn.com/bphoto/KaTLsiBtPdAN62Fo-2Otmw/o.jpg,False,https://www.yelp.com/biz/boardwalk-place-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,15,"[{'alias': 'pubs', 'title': 'Pubs'}]",2.5,[],$$,+14166948844,+1 416-694-8844,653.0793338126592,43.6630096,-79.3108978,1675 Lake Shore Boulevard E,,,Toronto,M4W 3L6,CA,ON,"['1675 Lake Shore Boulevard E', 'Toronto, ON M4W 3L6', 'Canada']"
14,yP71_LfUPnGIRqA2g09RoQ,lake-inez-toronto,Lake Inez,https://s3-media3.fl.yelpcdn.com/bphoto/vg38w5SFLek-KtR1I49DvQ/o.jpg,False,https://www.yelp.com/biz/lake-inez-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,95,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,[],$$$,,,726.2105823651318,43.67234,-79.32064,1471 Gerrard Street E,,,Toronto,M4L 2A1,CA,ON,"['1471 Gerrard Street E', 'Toronto, ON M4L 2A1', 'Canada']"
15,O-QzKFXawEOiJmonWgvKbQ,le-conciliabule-toronto,Le Conciliabule,https://s3-media4.fl.yelpcdn.com/bphoto/lkwBPARn-bTTpaV3B4uQ1Q/o.jpg,False,https://www.yelp.com/biz/le-conciliabule-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,14,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'bistros', 'title': 'Bistros'}]",4.5,[],,+14379811800,+1 437-981-1800,956.3312077542579,43.671365,-79.3272249,1300 Gerrard Street E,,,Toronto,M4L 1Y7,CA,ON,"['1300 Gerrard Street E', 'Toronto, ON M4L 1Y7', 'Canada']"
16,NPYcvTJxIKpzKvr0rRFdzw,mississauga-creative-craft-beer-festival-mississauga,Mississauga Creative Craft Beer Festival,https://s3-media1.fl.yelpcdn.com/bphoto/ZdcsVx2gXkSAOPv3E8w09Q/o.jpg,False,https://www.yelp.com/biz/mississauga-creative-craft-beer-festival-mississauga?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,1,"[{'alias': 'festivals', 'title': 'Festivals'}]",4.0,[],,,,753.72355293139,43.6636220658323,-79.3090405,1352 Lakeshore Boulevard E,,,Mississauga,L5E 1E9,CA,ON,"['1352 Lakeshore Boulevard E', 'Mississauga, ON L5E 1E9', 'Canada']"
17,O-uIEuv7JLUHajkemx_sVw,beerbistro-toronto-3,Beerbistro,https://s3-media3.fl.yelpcdn.com/bphoto/OPZ0QcowdI783fu7D0jcSg/o.jpg,False,https://www.yelp.com/biz/beerbistro-toronto-3?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,682,"[{'alias': 'bistros', 'title': 'Bistros'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",4.0,[],$$,+14168619872,+1 416-861-9872,420.6646117132331,43.64946713499637,-79.3771696548727,18 King Street E,,,Toronto,M5C 1C4,CA,ON,"['18 King Street E', 'Toronto, ON M5C 1C4', 'Canada']"
18,2aYraQzvBOdn2mULQAATng,mascot-brewery-toronto-3,Mascot Brewery,https://s3-media4.fl.yelpcdn.com/bphoto/Spuh0rE9Ht_qws68lo3tVQ/o.jpg,False,https://www.yelp.com/biz/mascot-brewery-toronto-3?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,18,"[{'alias': 'breweries', 'title': 'Breweries'}]",4.0,[],,+16473479553,+1 647-347-9553,1054.0700612469886,43.64746,-79.38709,220 King Street W,,,Toronto,M5V 3M2,CA,ON,"['220 King Street W', 'Toronto, ON M5V 3M2', 'Canada']"
19,PPCEx65Lm121Hw5yQhM_Zw,craft-beer-market-toronto,CRAFT Beer Market,https://s3-media4.fl.yelpcdn.com/bphoto/FU5BvgvWxtzfj964T_1eSw/o.jpg,False,https://www.yelp.com/biz/craft-beer-market-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,187,"[{'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]",3.5,[],$$,+14379222337,+1 437-922-2337,359.63564795985343,43.650159,-79.378093,1 Adelaide Street E,,,Toronto,M5C 2V9,CA,ON,"['1 Adelaide Street E', 'Toronto, ON M5C 2V9', 'Canada']"
20,9UTqobvtseW8KH4wMR0rYg,goose-island-toronto-3,Goose Island,https://s3-media2.fl.yelpcdn.com/bphoto/6DLYR0oyPEylJ-iLnhpdSg/o.jpg,False,https://www.yelp.com/biz/goose-island-toronto-3?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,40,"[{'alias': 'breweries', 'title': 'Breweries'}]",3.5,[],$$,+14168627575,+1 416-862-7575,708.1870519965299,43.6472859,-79.3735769,70 The Esplanade,,,Toronto,M5E 1R2,CA,ON,"['70 The Esplanade', 'Toronto, ON M5E 1R2', 'Canada']"
21,F-bdXFkJwwENiNpMTG2ntQ,the-3-brewers-toronto-3,The 3 Brewers,https://s3-media2.fl.yelpcdn.com/bphoto/qYIApqQW3QnXEE8rL6WmWg/o.jpg,False,https://www.yelp.com/biz/the-3-brewers-toronto-3?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,299,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'breweries', 'title': 'Breweries'}]",3.0,[],$$,+16473476286,+1 647-347-6286,393.12631605254387,43.65551,-79.38027,275 Yonge St,,,Toronto,M5B 1N8,CA,ON,"['275 Yonge St', 'Toronto, ON M5B 1N8', 'Canada']"
22,uKEyx1TaDbF4YeEVGKJkww,beertown-toronto-toronto,Beertown - Toronto,https://s3-media4.fl.yelpcdn.com/bphoto/sErQotQ8R5aZAnif5rtQGA/o.jpg,False,https://www.yelp.com/biz/beertown-toronto-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,31,"[{'alias': 'beerbar', 'title': 'Beer Bar'}]",4.0,[],,+14373772337,+1 437-377-2337,992.336815620167,43.6461848,-79.384264,125 Wellington Street W,,,Toronto,M5J 0E8,CA,ON,"['125 Wellington Street W', 'Toronto, ON M5J 0E8', 'Canada']"
23,fQwB9Z98YEhkJit7c3z51A,the-carbon-bar-toronto,The Carbon Bar,https://s3-media2.fl.yelpcdn.com/bphoto/1CdEhWZoVcHjWVONXSbQMQ/o.jpg,False,https://www.yelp.com/biz/the-carbon-bar-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,419,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,[],$$$,+14169477000,+1 416-947-7000,151.11249545442493,43.653088,-79.374829,99 Queen Street East,,,Toronto,M5C 1S2,CA,ON,"['99 Queen Street East', 'Toronto, ON M5C 1S2', 'Canada']"
24,qaNt4vtVdge_S68DVjw5Jg,the-queen-and-beaver-public-house-toronto,The Queen And Beaver Public House,https://s3-media1.fl.yelpcdn.com/bphoto/0434seFH1IdukTQRWAm0pA/o.jpg,False,https://www.yelp.com/biz/the-queen-and-beaver-public-house-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,413,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'british', 'title': 'British'}]",4.0,[],$$,+16473472712,+1 647-347-2712,699.7921068840234,43.65734,-79.38334,35 Elm Street,,,Toronto,M5G 1H1,CA,ON,"['35 Elm Street', 'Toronto, ON M5G 1H1', 'Canada']"
25,w4uTHh1KlHPwzqU-wxfWRQ,great-lakes-brewpub-toronto,Great Lakes Brewpub,https://s3-media1.fl.yelpcdn.com/bphoto/pvrLT6ObD1r-e51fkEO7SQ/o.jpg,False,https://www.yelp.com/biz/great-lakes-brewpub-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,15,"[{'alias': 'brewpubs', 'title': 'Brewpubs'}]",3.5,[],$$,,,1111.8878399773696,43.64478952472474,-79.36931916086434,11 Lower Jarvis Street,Unit 5-8,,Toronto,M5E 1Z2,CA,ON,"['11 Lower Jarvis Street', 'Unit 5-8', 'Toronto, ON M5E 1Z2', 'Canada']"
26,exysqt4RqxkF9I8Z2NEUsQ,king-taps-toronto,King Taps,https://s3-media1.fl.yelpcdn.com/bphoto/f1ABaikKJSqIY5zOrcI5qA/o.jpg,False,https://www.yelp.com/biz/king-taps-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,404,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,[],$$,+16473612025,+1 647-361-2025,651.9579259275845,43.6486379269,-79.3817439,100 King Street W,,,Toronto,M5X 1A9,CA,ON,"['100 King Street W', 'Toronto, ON M5X 1A9', 'Canada']"
27,Pthcdg09sHQ9M9Tj5P9gfQ,cest-what-toronto,C'est What,https://s3-media3.fl.yelpcdn.com/bphoto/ShCSOl2W-_o9pivPOu427A/o.jpg,False,https://www.yelp.com/biz/cest-what-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,347,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]",3.5,[],$$,+14168679499,+1 416-867-9499,619.3972508079466,43.64839,-79.37334,67 Front Street E,,,Toronto,M5E 1B5,CA,ON,"['67 Front Street E', 'Toronto, ON M5E 1B5', 'Canada']"
28,3vB3Bo7jvK-hWh7Lferowg,spearhead-brewing-company-toronto,Spearhead Brewing Company,https://s3-media3.fl.yelpcdn.com/bphoto/H02iVxy8cW4HVJZAJUU8Fw/o.jpg,False,https://www.yelp.com/biz/spearhead-brewing-company-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,2,"[{'alias': 'breweries', 'title': 'Breweries'}]",4.0,[],,+14169076952,+1 416-907-6952,520.3944931313229,43.6487,-79.38545,,,,Toronto,,CA,ON,"['Toronto, ON', 'Canada']"
29,zQJh5xUJAlTlMrGIyYPY0g,the-3-brewers-toronto-4,The 3 Brewers,https://s3-media2.fl.yelpcdn.com/bphoto/htICH_XRvTW2Vp2xws6y7A/o.jpg,False,https://www.yelp.com/biz/the-3-brewers-toronto-4?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,48,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'pubs', 'title': 'Pubs'}]",3.0,[],$$,+16476892898,+1 647-689-2898,653.410087544719,43.649744034928865,-79.3832479,120 Adelaide Street W,Unit 100,,Toronto,M5H 1T1,CA,ON,"['120 Adelaide Street W', 'Unit 100', 'Toronto, ON M5H 1T1', 'Canada']"
30,4MQaqhBUJCpghGukSWNq7w,the-loose-moose-toronto-2,The Loose Moose,https://s3-media3.fl.yelpcdn.com/bphoto/w7g-goS2ynkuI8lji3lpIw/o.jpg,False,https://www.yelp.com/biz/the-loose-moose-toronto-2?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,461,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]",3.5,[],$$,+14169778840,+1 416-977-8840,1059.4745852245449,43.64522746,-79.3838502,146 Front Street West,,,Toronto,M5J 1G2,CA,ON,"['146 Front Street West', 'Toronto, ON M5J 1G2', 'Canada']"
31,LBHbyID7tcaGszznHtnCrw,joey-eaton-centre-toronto,JOEY Eaton Centre,https://s3-media3.fl.yelpcdn.com/bphoto/h98dC1_kHPWnObyV8D5Qnw/o.jpg,False,https://www.yelp.com/biz/joey-eaton-centre-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,538,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'steak', 'title': 'Steakhouses'}]",3.5,[],$$,+16473525639,+1 647-352-5639,516.8979542129287,43.6558708964233,-79.382009190213,1 Dundas St W,,,Toronto,M5G 1Z3,CA,ON,"['1 Dundas St W', 'Toronto, ON M5G 1Z3', 'Canada']"
32,Iu-I5LHQ4cDuPnG64gC_vA,wvrst-union-station-toronto,WVRST Union Station,https://s3-media3.fl.yelpcdn.com/bphoto/dhbLcYR2FqB1Toz3XiJTcg/o.jpg,False,https://www.yelp.com/biz/wvrst-union-station-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,65,"[{'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'german', 'title': 'German'}]",4.0,[],$$,+14162833251,+1 416-283-3251,992.9608064040453,43.644936,-79.381269,65 Front Street West,,,Toronto,M5J 1E6,CA,ON,"['65 Front Street West', 'Toronto, ON M5J 1E6', 'Canada']"
33,dTuT_G3Zp79RZmnF3oxfiA,bier-markt-toronto-4,Bier Markt,https://s3-media1.fl.yelpcdn.com/bphoto/pq6VNbLYHym2e0t2yThJ4Q/o.jpg,False,https://www.yelp.com/biz/bier-markt-toronto-4?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,278,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",3.0,[],$$,+14168627575,+1 416-862-7575,719.0525134508172,43.647095161326,-79.373915180044,58 The Esplanade,,,Toronto,M5E 1R2,CA,ON,"['58 The Esplanade', 'Toronto, ON M5E 1R2', 'Canada']"
34,jGO4T6rGX3EIOwOtg4bZqg,lobster-burger-bar-toronto,Lobster Burger Bar,https://s3-media3.fl.yelpcdn.com/bphoto/obTgr3f9hVaSHiOf_KqhSQ/o.jpg,False,https://www.yelp.com/biz/lobster-burger-bar-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,85,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.0,[],$$,+14165982929,+1 416-598-2929,1033.929225294053,43.647443,-79.386768,214 King Street W,,,Toronto,M5H 3S6,CA,ON,"['214 King Street W', 'Toronto, ON M5H 3S6', 'Canada']"
35,U6ZPS03Nnm-peYC0q_bV6Q,imperial-pub-toronto,Imperial Pub,https://s3-media4.fl.yelpcdn.com/bphoto/oXMCPSPgFwMsrQlypsh-Sg/o.jpg,False,https://www.yelp.com/biz/imperial-pub-toronto?adjust_creative=jxe0l4HW-9hSKcdBti6G6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jxe0l4HW-9hSKcdBti6G6A,158,"[{'alias': 'pubs', 'title': 'Pubs'}]",3.5,[],$$,+14169774667,+1 416-977-4667,384.65187597914246,43.6563327,-79.3788469,54 Dundas Street E,,,Toronto,M5B 1C7,CA,ON,"['54 Dundas Street E', 'Toronto, ON M5B 1C7', 'Canada']"
